Category	Name	Latest	Information
Scientific tool	meme-suite	v5.4.1	![Status](https://github.com/pscedu/singularity-meme-suite/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-meme-suite/actions/workflows/pretty.yml/badge.svg)
Scientific tool	methylpy	v1.4.3	![Status](https://github.com/pscedu/singularity-methylpy/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-methylpy/actions/workflows/pretty.yml/badge.svg)
Scientific tool	nanoplot	rate-limited	![Status](https://github.com/pscedu/singularity-nanoplot/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-nanoplot/actions/workflows/pretty.yml/badge.svg)
Utility	ncdu	v2.8	![Status](https://github.com/pscedu/singularity-ncdu/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-ncdu/actions/workflows/pretty.yml/badge.svg)
Scientific tool	ncview	rate-limited	![Status](https://github.com/pscedu/singularity-ncview/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-ncview/actions/workflows/pretty.yml/badge.svg)
Scientific tool	octave	v7.3.0	![Status](https://github.com/pscedu/singularity-octave/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-octave/actions/workflows/pretty.yml/badge.svg)
Utility	pandiff	v0.6.0	![Status](https://github.com/pscedu/singularity-pandiff/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-pandiff/actions/workflows/pretty.yml/badge.svg)
Utility	pandoc	rate-limited	![Status](https://github.com/pscedu/singularity-pandoc/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-pandoc/actions/workflows/pretty.yml/badge.svg)
Scientific tool	phylip-suite	v3.697	![Status](https://github.com/pscedu/singularity-phylip-suite/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-phylip-suite/actions/workflows/pretty.yml/badge.svg)
Scientific tool	picard	v2.23.2	![Status](https://github.com/pscedu/singularity-picard/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-picard/actions/workflows/pretty.yml/badge.svg)
Scientific tool	porechop	rate-limited	![Status](https://github.com/pscedu/singularity-porechop/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-porechop/actions/workflows/pretty.yml/badge.svg)
Scientific tool	prodigal	rate-limited	![Status](https://github.com/pscedu/singularity-prodigal/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-prodigal/actions/workflows/pretty.yml/badge.svg)
